label,cx,cy,sx,sy,theta,A,offset,sig_cx,sig_cy,red_chi2
2,435.96816495101115,21.957800815494874,1.7591468760450106,1.7785503513330951,-0.24488726916909678,125.11743665924207,29.67808060435003,0.013780069560133322,0.01391418737601263,4.714393278761574
3,153.34854587324887,29.744725534959517,1.334807864313499,1.313454954524554,-0.1965598733529014,148.41185360730165,29.654758291402015,0.011229383449539856,0.011063355135925872,4.298250758308815
4,383.54291847620425,41.24182901389385,1.4894524241209113,1.5041859424792356,-0.42344483236439284,116.08614316125755,29.25612024563319,0.013310322704488555,0.013397378917290382,3.7746546099581297
5,121.09564326604819,43.30257028351792,1.9388655329070574,1.9277220247554314,-0.19560084883864162,129.61983748629117,29.671413725911346,0.011486223332684899,0.011425253147157942,3.463265457082098
6,74.95161064690379,52.48812493539563,2.4516739042988327,2.4572303748454445,-0.38857109014534735,217.39350265785566,29.195053078780283,0.0067153335707693645,0.006709139272797653,3.3201073219674866
7,431.5533292519496,55.775018277215636,1.7760476617495953,1.791377305626557,1.2185777250322358,127.00481705194532,28.942434611297323,0.0122330828881217,0.012153304581683446,3.766748640539717
8,235.33223730831915,80.66630350586348,1.8790621544628805,1.9005193600816004,-0.32306257854807136,159.44343265561335,29.47798601094667,0.009556614088475425,0.009644123206115908,3.6800370210905107
9,260.9279630965239,79.89273486444638,1.318800231090859,1.3813373431798455,0.3691654680174006,147.77364843337273,29.552823783715255,0.010867362836139028,0.011246055621074126,4.19012134417347
10,192.7754617387537,91.98077388263513,2.408996246809345,2.3832493827858188,0.4695127599682616,97.24093756763651,29.8541584788347,0.01824842926448265,0.018095432308527344,4.8842134536530715
11,466.6477977046017,96.78577007371766,1.8037852045879392,1.8100536402934506,1.5707963267948963,164.9397878731888,29.882770674534864,0.009931461084888009,0.00989713677003767,4.2001868753469
12,55.37028678508048,103.47571246929297,1.8261643759176407,1.8196391880469807,-0.2828702379848538,98.08978669135728,29.535705351877322,0.01690113850582234,0.016850380943112524,4.3040554728043405
13,430.2134242672522,104.39177664465127,1.943159196225158,1.9098035344160025,0.23145569865787782,107.0751445023162,29.47387180910036,0.017079203634302296,0.01681670793333761,5.172145056245252
14,246.96556864600026,154.55090800564744,1.8977612768546537,1.8710539317985266,1.3652587483147318,120.3795980711409,29.585737766870768,0.012846420024987187,0.01301373055642688,3.8047435345883684
15,473.99606706213876,158.32151961388692,1.6195435113017382,1.6139089798833055,0.25080227778770514,192.9507225486308,29.386650520045116,0.007676535407752412,0.007653073992808317,3.435663844061605
16,58.86557830973492,164.48418706644952,1.4012571480616638,1.416075898748034,-0.9562134654233753,208.4035096841102,29.554169785448796,0.008189961406747584,0.008161146573840334,4.55975627556656
17,338.2827040349315,175.6472331946984,1.5270044296866365,1.5571393073648454,0.30070963676970386,134.13622415400658,29.34132994433008,0.011209377885224091,0.011391458843332243,3.6086613876540126
18,490.69035298912485,185.61605083654004,1.7617096321086023,1.7653523057584082,0.7482089191548733,169.25966411427427,29.30168426372705,0.009240818265668818,0.009242218227297311,3.8432664028816284
19,144.98273068343394,197.2857943653913,1.6972162285465977,1.686587465670715,0.26893455018552626,169.40117575541913,29.635919647294365,0.008685634296209208,0.00863877589752637,3.3821803048919996
21,230.0981109144517,216.3706132409976,9.591637694807984,1.4910894976701907,-0.6993740642203737,181.15872391092407,29.337133630020013,0.02984514174143481,0.02491850710013431,3.6928816400996918
22,331.8327531016706,224.05887760017845,1.5682233572939255,1.5609824650465731,-0.537012836302436,107.54340792895538,29.629077141441076,0.013304284298741672,0.013274958438912481,3.2085443204368693
24,270.48883448697006,238.3210349380382,1.429573883260042,1.414237700796419,0.7774690167485623,177.49890462612154,29.51034639154909,0.008787178665904888,0.008785676307657565,3.820416201441125
25,80.19769314797365,241.96303402539988,1.5741056723987321,1.5536039639715535,-1.1765459459443082,103.41094377188172,28.995801189513454,0.015021537494458474,0.015161027130853611,3.825393460017794
26,152.41164832924474,256.1382481427376,7.202430694689455,1.498806014860503,0.4370422129799432,179.7792371457143,29.656637210576847,0.02531150772491818,0.01205308247015565,3.3159228298325085
27,401.317803254289,252.55199504740386,1.436061986466111,1.4818503422574376,1.015778982188617,136.01469698827455,29.528449201239855,0.010818081732291046,0.010668196910806189,3.352441602464209
28,76.9962542626918,259.92120122596776,2.2727008688484145,2.291823787793232,-0.19741347278786975,94.67212807030204,29.53837703590838,0.0166086883856648,0.016764762077468902,3.909682666275214
30,125.0482208754189,286.5172102930393,2.477101182496888,2.5088043695586073,-0.532368538998899,158.92653970368582,29.145231349384755,0.009833088020252446,0.009918211095181177,3.8460573871274684
31,245.1513765096495,286.79826545687405,1.469746369396239,1.498842450895827,0.9846556500915562,149.6866602423467,29.36063931402907,0.011533412436790956,0.01144602130029733,4.645446744189076
32,422.7979204649684,288.8574415889609,2.4323072597709365,2.4311096940288515,-0.7873514730814551,116.74991596415143,29.98764681810806,0.01432226127078978,0.014326130971952842,4.357925046092854
33,348.349976342106,314.73070451111835,2.50582899385703,2.508959476881719,-0.7869501909172947,134.60079917419216,29.566782715916773,0.012465133963037568,0.012494464197226099,4.39988171960282
34,464.79522263058027,332.4856075412311,1.9908353863609807,2.0242684751004427,0.7392371520621963,85.5056075229037,29.315647821004266,0.01842728081062791,0.018454366593800595,3.9031829698646865
35,233.39799435683264,360.3849289999932,1.6331574830276736,1.6270498912231603,0.6503834244557576,108.35474280012187,29.68857374296813,0.014313305121114051,0.01429902148656648,3.774489628404755
36,162.80932134001,364.1630926994079,1.830035510593177,1.8483479358587585,-0.330646385552431,219.18197647194384,29.18270741848362,0.007342644403791117,0.007400287603848125,4.100142782268143
37,276.2783181378738,368.9876148619245,1.9807892915445893,1.9864064952298994,-0.4066814568731658,143.07222313690318,29.662134344547617,0.011790811741408636,0.011813638679852127,4.478424494563674
38,140.6639536072175,381.555867184416,2.0361692852256934,2.0261497812383245,-0.6241149416897163,211.98580567029165,29.623244465060473,0.006437596434876225,0.006427355205577164,2.9192926902737772
39,95.88600350564467,385.48723771400756,1.194407779031178,1.219856276474681,-0.3178368481078123,173.03552059406147,29.557205288968593,0.008993113075464798,0.009146710915110224,3.8683912889932204
40,22.910211352146597,400.3554414650658,1.4070057319944491,1.3880826775026187,-1.5707963267948963,146.29425101185635,29.377069713457583,0.010821846089269376,0.010969371881170066,3.9907769274079823
41,474.19945176434373,415.30242068028156,2.1388637901561847,2.0861349925797765,0.6023610492462891,82.71603558945495,29.488336488758463,0.017963168664159382,0.017803477230373687,3.435142894243855
42,150.6708752931821,432.5966885729984,1.3786270230250226,1.3979129948088442,-0.6515294953837121,181.80412449981256,29.35827306368361,0.009091083113701486,0.009124553747812755,4.30641351757649
43,56.15558704074547,438.4185582348765,2.240571810317337,2.216465057848376,0.12379723381861622,211.74509004982556,29.486197413612455,0.00730004885080732,0.007224588783279651,3.711394834044184
44,73.9592961427984,447.7430762666669,1.9288258198794228,1.9466038962204026,0.3122850761538466,149.88476896254176,29.361183401503396,0.00978116854707809,0.009855269435614294,3.4011362883280323
45,44.64717083699699,452.8054503511206,2.0184027858741485,2.0303251430859492,-0.1002534425180328,132.6785848951521,29.603086636737928,0.013495699493803118,0.013575046469104415,5.063180915401227
46,69.45045637901238,463.8779794168721,1.7367062255855978,1.7873720347149622,-1.1049119676320915,116.03395819258013,29.65451447110867,0.013824682111320343,0.013589836426409438,3.972205121074099
